Work item ID,Work type,Summary,Description,Parent,Priority,Labels
11,Story,1.2 Create and manage source documents in draft state,"As a knowledge manager,
I want to create and manage source documents with complete provenance metadata,
So that cultural knowledge starts from a traceable source without direct database operations.

**Acceptance Criteria:**

**Given** Admin opens the Document wizard
**When** creates source document
**Then** form collects source URL, title, region, source type, source tier, observed date, license and raw text/file according to contract
**And** required fields, URL/date/type constraints are displayed in the correct fields
**And** The UI does not require manual UUID or foreign key entry.

**Given** valid payload
**When** Admin saves the document
**Then** FastAPI/service transaction creates the document in the current draft corpus revision
**And** the default document has status `draft`, not `published`
**And** document does not appear in online serving query
**And** audit record is recorded for the create operation.

**Given** URL/content hash or metadata matches existing document
**When** Admin saves the draft
**Then** exact duplicate is blocked according to business constraints
**And** response specifies the duplicate field/candidate so that the Admin can edit or open the existing record
**And** does not create a second document or a garbage object.

**Given** raw document/file is stored on S3
**When** database write or object write fails
**Then** the system does not report successful saving
**And** does not leave a database row pointing to a non-existent object
**And** the orphan object is rolled back or marked for reconciliation according to the documented policy.

**Given** Admin finds or opens the draft document
**When** see list/details
**Then** can filter/search by title, region, source type and status
**And** metadata, raw-content availability and provenance are displayed
**And** loading, empty and error states have accessible behavior.

**Given** the document is still in draft revision and has not been submitted/published
**When** Admin updates or deletes document
**Then** change validation and execute atomically
**And** dependent-record conflicts are reported instead of being orphaned
**And** audit saves necessary before/after metadata.

**Given** document is in published release
**When** Admin tries to edit or delete published evidence
**Then** the system rejects direct mutations
**And** instructs Admin to create new revision/draft instead of changing historical evidence.",9,Highest,"heritagegraph,epic-1,role-be"
12,Story,1.3 Create a passage and select evidence directly from the source,"As a knowledge manager,
I want to create passages from a draft document and select them as evidence visually,
So that downstream knowledge records can cite exact source text without manual IDs.

**Acceptance Criteria:**

**Given** a draft source document with raw text
**When** Admin opens the Passage workspace
**Then** raw text and passage list/preview are displayed in parallel
**And** passage is being highlighted correctly on raw text
**And** workspace supports keyboard navigation and does not just use color to indicate selection.

**Given** Admin selects a raw text or enters a valid char span
**When** creates passage
**Then** `char_start` and `char_end` are within the document
**And** passage content exactly matches the referenced substring according to the specified convention
**And** the system automatically generates the content hash and attaches the draft corpus revision
**And** Admin does not have to enter document UUID manually.

**Given** char span is empty, inverted, out of bounds, or content does not match raw text
**When** Admin saves passage
**Then** FastAPI rejects with error attaching correct field/span
**And** does not create partial passage or evidence record.

**Given** the passage has the same document, span or content hash that already exists in the revision
**When** Admin saves
**Then** exact duplicate is blocked
**And** UI leads to existing passage or allows adjustment of selection
**And** does not create duplicate records.

**Given** passage draft is valid
**When** Admin edits or deletes passage
**Then** the content hash/span is recalculated and validation runs within the transaction
**And** the system blocks deletion if the passage is being referenced by the knowledge record, and also lists dependencies
**And** audit record records the operation.

**Given** a form knowledge record that needs evidence in future stories
**When** Admin opens Evidence Picker
**Then** you can search for passages by document/title/text and select directly from the preview
**And** component returns a valid reference but does not require the user to enter a UUID/FK
**And** selected evidence displays the source title and excerpt for inspection.

**Given** passage is in published release
**When** Admin tries to edit content/span
**Then** the system rejects direct mutations
**And** requires creating a new revision so that the historical citation remains unchanged.",9,Highest,"heritagegraph,epic-1,role-be"
13,Story,"1.4 Manage entities, aliases and place profiles","As a knowledge manager,
I want to create and manage entities, aliases and place profiles with evidence,
So that cultural concepts are canonical, searchable and traceable before publication.

**Acceptance Criteria:**

**Given** Admin opens Entity editor
**When** creates entity
**Then** form collects canonical name, normalized name, type, subtype, scope and status according to registry
**And** entities are attached to draft corpus revision and are not served online by default
**And** Admin does not have to manually enter corpus/entity UUID.

**Given** canonical/normalized name is the same or close to existing entity/alias
**When** Admin imports or saves entities
**Then** exact duplicate is blocked
**And** fuzzy candidates are displayed with name, type and region/context sufficient for comparison
**And** Admin can open candidate instead of accidentally creating duplicate entities.

**Given** entity draft already exists
**When** Admin adds, edits or deletes aliases
**Then** the alias is normalized consistently with the entity resolution contract
**And** Empty aliases, duplicates in the same entity, or invalid conflicts are explicitly rejected
**And** mutations are audited and executed atomically.

**Given** entity has type location
**When** Admin creates place profile
**Then** coordinates and geographical/administrative fields can be entered according to the schema
**And** latitude/longitude is tested for range and value pairs
**And** non-place entities cannot receive place profiles that are left of the constraint.

**Given** entities need provenance
**When** Admin uses Evidence Picker from Story 1.3
**Then** can choose primary evidence and one or more supporting passages
**And** evidence must be in a valid revision/context
**And** UI displays source title and excerpt, no passage ID required.

**Given** Admin finds entities to edit or link later
**When** searches by canonical name, alias, type or region
**Then** the result distinguishes canonical name from alias match
**And** draft/published status is clearly displayed
**And** loading, empty, duplicate-warning and error states support keyboard/screen reader.

**Given** entity draft is being referenced by another knowledge record
**When** Admin tries to delete entity
**Then** the system blocks orphan references and lists dependencies
**And** does not perform partial delete.

**Given** entity/alias/place profile is a published release
**When** Admin tries to edit directly
**Then** the system rejects mutation history
**And** directs Admin to create a new draft revision.",9,Highest,"heritagegraph,epic-1,role-be"
14,Story,1.5 Compile typed claims with evidence,"As a knowledge manager,
I want to author typed claims for an entity using a governing field registry,
So that factual attributes are validated, versioned and traceable to source passages.

**Acceptance Criteria:**

**Given** Admin selects an entity draft and `claim_field`
**When** Claim form is displayed
**Then** control is generated according to `value_type`: `text`, `number`, `boolean`, `date`, `year`, `money` or `json`
**And** form displays `label_vi`, default unit and time-sensitive guidance
**And** Admin does not enter entity ID or field code manually.

**Given** Admin enters claim value
**When** value does not match the type of `claim_field`
**Then** UI/FastAPI reports an error in the field before or when saving
**And** database constraint/trigger still rejects invalid payloads if application validation is bypassed
**And** does not create partial claims.

**Given** a valid claim
**When** Admin does not enter units and fields with `default_unit`
**Then** default units are applied consistently
**And** units are displayed in the preview before saving.

**Given** Admin enters `observed_at`, `valid_from`, `valid_until`, confidence and canonical state
**When** save claim
**Then** confidence only accepts between 0 and 1
**And** `valid_until` cannot be before `valid_from`
**And** time-sensitive claim requires contract time metadata
**And** claim is saved in state `draft`.

**Given** claim requires provenance
**When** Admin selects evidence
**Then** must have a primary passage and can have multiple supporting passages
**And** claim, entities and passages belong to the same valid draft corpus version
**And** source title/excerpt is displayed instead of UUID.

**Given** a claim with the same entity, field and value already exists in revision
**When** Admin saves
**Then** exact duplicate is blocked or redirected to an existing record
**And** canonical-state conflict is clearly warned
**And** do not create unintentional duplicate claims.

**Given** claim draft already exists
**When** Admin edits or deletes claim
**Then** type, validity, confidence and evidence are validated again in the transaction
**And** the operation is audited
**And** published claim cannot be edited directly but must create a new revision.",9,High,"heritagegraph,epic-1,role-be"
15,Story,1.6 Compile timeline events and participants,"As a knowledge manager,
I want to author evidence-backed timeline events with typed participant roles,
So that an entity's history can be presented and queried consistently.

**Acceptance Criteria:**

**Given** Admin opens the Timeline editor for an entity
**When** creates event
**Then** form collects title, `year_start`, optional `year_end`, precision, event type, summary, actor and artifact according to the schema
**And** precision only accepts `year`, `decade`, `century`, `range` or `circa`
**And** event type is selected from the registry, no free code is entered.

**Given** Admin enters the timeline
**When** `year_end` is less than `year_start` or precision/range is invalid
**Then** UI and FastAPI report errors in the relevant field
**And** the database constraint still protects the year range
**And** does not create partial events.

**Given** event has participating individuals, organizations, locations or artifacts
**When** Admin adds participant
**Then** entities are searched/selected by canonical name or alias
**And** role is selected from `participant_role` registry
**And** and the same entity/role cannot be added to the same event
**And** Admin does not enter entity ID or role code manually.

**Given** Admin selects actor or artifact
**When** saves the event
**Then** reference must point to a valid entity in the corpus context
**And** type mismatch is clearly warned or rejected according to business rules
**And** deleted/invalid reference does not create an orphan relation.

**Given** timeline event needs provenance
**When** Admin selects evidence
**Then** must have a primary passage and can have supporting passages
**And** event and evidence belong to the same draft corpus version
**And** source title/excerpt is displayed in the editor.

**Given** equivalent event already exists for the same entity, time range, type and title
**When** Admin saves
**Then** exact duplicate is blocked or results in an existing event
**And** event at the same time but other content is allowed to exist and presented separately.

**Given** valid event and participant list
**When** Admin saves or updates
**Then** events, participants and evidence are atomically recorded in state `draft`
**And** the operation is audited
**And** failure in any part rolls back all changes.

**Given** timeline event is a published release
**When** Admin tries to edit or delete directly
**Then** the system rejects mutation history
**And** requires creating a new draft revision.",9,High,"heritagegraph,epic-1,role-be"
16,Story,1.7 Build typed entity relations,"As a knowledge manager,
I want to connect two entities with a governing predicate and supporting evidence,
So that graph relationships remain valid, explainable and queryable.

**Acceptance Criteria:**

**Given** Admin opens the Relation builder
**When** select subject, predicate and object
**Then** The UI displays the structure `subject ─ predicate → object`
**And** subject/object is searched by canonical name or alias
**And** predicate is selected from the closed registry, no code or UUID entered manually.

**Given** predicate has `is_symmetric` or `inverse_of`
**When** Admin selects predicate
**Then** builder displays appropriate semantics/inverse for Admin to check relationship direction
**And** do not create inverse relations outside the specified contract.

**Given** subject and object are the same
**When** Admin saves the relation
**Then** UI, FastAPI and database refuse self-loop
**And** does not create partial relation/evidence.

**Given** the same subject, predicate, object and corpus version already exists
**When** Admin saves
**Then** exact triple duplicate is suppressed and the existing record is displayed
**And** does not silently merge different evidence or confidence.

**Given** Admin enters confidence and evidence
**When** saves relation
**Then** confidence only accepts from 0 to 1
**And** primary passage is required, supporting passages are optional
**And** relation, entities and passages belong to the same draft corpus context.

**Given** relation is valid
**When** Admin creates, updates or deletes
**Then** relation and evidence are atomically written in state `draft`
**And** the operation is audited
**And** published relation cannot be edited directly but must create a new revision.",9,High,"heritagegraph,epic-1,role-be"
17,Story,1.8 Compile narrative sections with evidence,"As a knowledge manager,
I want to compose ordered Markdown narrative sections for an entity with source evidence,
So that published heritage content can tell a coherent story without losing provenance.

**Acceptance Criteria:**

**Given** Admin opens the Narrative editor for an entity
**When** create section
**Then** section code is selected from the allowed registry, including overview, name, origin, historical role, architecture, artifacts, characters, modern changes or tours
**And** form collects title, Markdown body and order index
**And** Admin does not enter entity ID or section code freely.

**Given** the same entity, section code and corpus version already have sections
**When** Admin creates more
**Then** exact section duplicates are blocked and the existing section is opened for editing
**And** other sections of code are still allowed to exist.

**Given** Admin composes Markdown
**When** opens preview
**Then** headings, lists, links and emphasis are rendered consistent with the public content contract
**And** unsafe HTML/script is sanitized
**And** editor/preview is keyboard-enabled and has accessible labels.

**Given** narrative section needs provenance
**When** Admin selects evidence
**Then** a primary passage is required and supporting passages can be multiple
**And** selected sources shows title/excerpt instead of UUID
**And** section and evidence belong to the same draft corpus version.

**Given** Admin changes order index or content
**When** save narrative package
**Then** ordering, Markdown and evidence are validated and recorded atomically
**And** section defaults to state `draft`
**And** the operation is audited.

**Given** the narrative section is a published release
**When** Admin tries to edit or delete directly
**Then** the system rejects mutation history
**And** requires creating a new revision draft.",9,High,"heritagegraph,epic-1,role-be"
18,Epic,Epic 2: Reliable Corpus Validation and Publishing,"Editors submit drafts to Airflow for deep validation, generate embeddings, indexes, and manifests, resolve issues, conduct reviews, and publish corpus releases atomically. A dashboard shows the health and publication readiness of each release.",,Highest,"heritagegraph,epic-2"
19,Story,2.1 Submit draft revision and create validation run idempotent,"As a knowledge manager,
I want to submit a draft corpus revision for asynchronous validation,
So that deep validation runs once per logical submission without blocking normal authoring saves.

**Acceptance Criteria:**

**Given** an authenticated Admin with draft revision
**When** Admin selects Submit for Validation
**Then** FastAPI performs minimal preflight checks on revision, ownership/status and required package records
**And** saving normally does not automatically trigger Airflow
**And** submission does not make the draft published.

**Given** valid submission with new idempotency key
**When** service processes the request
**Then** the validation run is created atomically with revision ID, requester, timestamps and initial state
**And** run ID is immediately returned to the UI for asynchronous tracking
**And** the operation is audited.

**Given** the same revision and idempotency key are sent back
**When** request retry due to timeout or network failure
**Then** service returns an existing validation run
**And** does not create a second run or DAG execution.

**Given** idempotency key is already used for another revision/payload
**When** the client reuses the key
**Then** The API returns an explicit conflict
**And** does not change the existing run.

**Given** multiple requests submitted at the same time with the same revision
**When** service handles concurrency
**Then** database uniqueness/transaction ensures that only one logical run is created
**And** the remaining requests receive the same run or conflict.

**Given** validation run has been committed
**When** Airflow trigger is successful
**Then** run saves the external DAG/run reference and enters the appropriate queued/running state
**And** correlation ID connects API submission to Airflow execution.

**Given** Airflow trigger failed after run was created
**When** service logs an error
**Then** run has an explicit retryable/trigger-failed status
**And** retry reuses the same logical run instead of creating a new run
**And** The UI does not indicate that validation is running if the DAG has not been triggered.

**Given** revision changes after a submission
**When** Admin wants to review new content
**Then** must create a new submission/version identity
**And** the old run's report still properly references the audited snapshot/revision.",18,Highest,"heritagegraph,epic-2,role-be"
20,Story,2.2 Run Airflow deep validation and record validation issues,"As a knowledge manager,
I want the knowledge submitted package to be checked deeply with actionable issues,
So that I can correct invalid or incomplete records before indexes or a release is prepared.

**Acceptance Criteria:**

**Given** revision validation run has been triggered for a snapshot
**When** Airflow starts deep validation
**Then** pipeline only reads data belonging to the submitted snapshot/revision
**And** the current status and start/end time of each stage are recorded
**And** changing the draft later does not change the results of the currently running run.

**Given** package contains document, passage, entity, claim, timeline, relation and narrative
**When** validation stages run
**Then** the system checks required fields, type/range, foreign key, exact duplicate, provenance and corpus-version consistency
**And** business constraints of each record type are checked
**And** the quality blocking error is classified as `error`, the issue needing review is classified as `warning`.

**Given** a validation rule that detects the problem
**When** issue is recorded
**Then** issue contains run, stage, severity, rule/code, record kind/ID, field/path and actionable messages
**And** The UI has enough references to open the correct record that needs editing
**And** issue does not require Admin to read Airflow log to identify error objects.

**Given** the same run/stage is retried
The **When** pipeline logs the results
**Then** issues are upsert/reconcile to a stable identity
**And** does not create duplicate issues just because of a retry
**And** issues that are no longer valid after the retest are marked resolved or replaced according to policy.

**Given** a stage validation failed due to an operator error
**When** run stops
**Then** run is not marked as passable
**And** stage errors, safety messages and recorded results are retained for diagnostics
**And** retry continues safely without creating a new logical run.

**Given** validation has any unresolved `error`
**When** the pipeline is about to move to embedding/indexing or publishing
**Then** the following step is blocked
**And** warnings are displayed for review but do not automatically turn into pass/fail outside of the specified policy.

**Given** validation completed
**When** Admin views summary
**Then** the total number of errors/warnings and results by stage match the issue records
**And** metrics/logs/traces are linked by validation run/correlation ID
**And** Airflow does not have the right to publish the corpus itself.",18,Highest,"heritagegraph,epic-2,role-data"
21,Story,"2.3 Create embeddings, indexes and reproducible manifest","As a knowledge manager,
I want every validated revision prepared as one reproducible serving package,
So that search, graph and chatbot components can use consistent artifacts after publication.

**Acceptance Criteria:**

**Given** validation run completed and there are no more blocking errors
**When** the preparation pipeline starts
**Then** passages are divided into semantic chunks according to the versioned chunking contract
**And** each chunk has a stable ID, source passage reference and content hash
**And** together with input/configuration recreates the same chunk identities.

**Given** chunks need vector embedding
**When** the embedding stage runs
**Then** model, model version and vector dimension match the embedding contract
**And** vectors with wrong dimensions are rejected instead of being written to the index
**And** constant chunks can reuse artifacts according to content hash and contract version.

**Given** validated records and chunks are ready
**When** indexing stages run
**Then** lexical, accent-insensitive/trigram, vector and graph projection artifacts are all attached to the corpus revision
**And** artifacts are recorded in the staging namespace, not yet used by online consumers
**And** partial artifacts are not marked ready.

**Given** all preparation stages are successful
**When** pipeline creates manifest
**Then** manifest records corpus revision, chunk IDs/hashes, embedding contract, index versions, graph projection version, record counts and artifact checksums/locations
**And** manifest is saved with version on S3
**And** secrets or private infrastructure credentials do not appear in the manifest.

**Given** the same revision/configuration is retried
**When** pipeline records chunks, embeddings, indexes or manifest
**Then** writes is idempotent or reconciled according to deterministic artifact identity
**And** does not generate duplicate serving packages
**And** stale/partial artifacts are replaced or cleaned up according to documented policy.

**Given** any preparation stage or manifest verification fails
**When** run ends
**Then** release is not marked publish-ready
**And** active published artifacts are currently unchanged
**And** stage/error is recorded for retry and observation.",18,High,"heritagegraph,epic-2,role-data"
